2026-05-08 20:55:40,288 | GuardianWatchdog | INFO    | ============================================================
2026-05-08 22:50:08,727 | GuardianWatchdog | INFO    | 🛡️ Trading Guardian Watchdog STARTING
2026-05-08 22:50:08,727 | GuardianWatchdog | INFO    | ============================================================
2026-05-08 22:50:08,739 | GuardianWatchdog | INFO    | 📊 Daemon process: ✅ RUNNING
2026-05-08 22:50:08,743 | GuardianWatchdog | INFO    | 📊 Launchd agent: ✅ LOADED
2026-05-08 22:50:08,743 | GuardianWatchdog | INFO    | ✅ Daemon is healthy and running
2026-05-08 22:50:08,743 | GuardianWatchdog | INFO    | ✅ Watchdog check COMPLETED
2026-05-08 22:50:08,743 | GuardianWatchdog | INFO    | ============================================================
2026-05-10 09:13:29,590 | GuardianWatchdog | INFO    | ============================================================
2026-05-10 09:13:29,590 | GuardianWatchdog | INFO    | 🛡️ Trading Guardian Watchdog STARTING
2026-05-10 09:13:29,590 | GuardianWatchdog | INFO    | ============================================================
2026-05-10 09:13:29,603 | GuardianWatchdog | INFO    | 📊 Daemon process: ❌ STOPPED
2026-05-10 09:13:29,608 | GuardianWatchdog | INFO    | 📊 Launchd agent: ✅ LOADED
2026-05-10 09:13:29,608 | GuardianWatchdog | WARNING | ⚠️ Daemon NOT running - attempting restart...
2026-05-10 09:13:29,619 | GuardianWatchdog | WARNING | ⚠️ Launchd restart failed - trying direct start...
2026-05-10 09:13:29,620 | GuardianWatchdog | INFO    | ✅ Daemon started directly (fallback method)
2026-05-10 09:13:34,660 | GuardianWatchdog | INFO    | ✅ Daemon started directly
2026-05-10 09:13:34,660 | GuardianWatchdog | INFO    | 📊 Daemon log: 2150 bytes
2026-05-10 09:13:34,660 | GuardianWatchdog | INFO    | ✅ Watchdog check COMPLETED
2026-05-10 09:13:34,660 | GuardianWatchdog | INFO    | ============================================================
